period_granularity,period_start,period_label,period_sort,variable,role,contribution,n_rows,period_model_contribution,share_of_period_model_contribution,contribution_draw_n,contribution_q05,contribution_q50,contribution_q95
week,2024-01-28,2024-01-28,4,display,media,98.7777258615036,4,3721.88078405762,0.0265397339658514,80,86.7320014519355,101.24968417785,115.943132594772
week,2024-01-28,2024-01-28,4,promo,baseline_control,0,4,3721.88078405762,0,80,0,0,0
week,2024-02-04,2024-02-04,5,baseline,baseline_control,2578.82601338597,4,3753.24300715107,0.687092737793027,80,2473.08297786659,2583.72723322519,2699.38741367784
week,2024-02-04,2024-02-04,5,tv,media,343.773475509931,4,3753.24300715107,0.0915937163820562,80,294.183035295844,336.828064403036,387.048959931859
week,2024-02-04,2024-02-04,5,paid_search,media,294.812086865719,4,3753.24300715107,0.0785486274946791,80,259.468839525779,299.923251839324,349.557075704448
week,2024-02-04,2024-02-04,5,meta,media,166.599102118552,4,3753.24300715107,0.0443880403696563,80,144.926448745829,168.70356787884,198.983805750767
week,2024-02-04,2024-02-04,5,retail_media,media,160.390014106688,4,3753.24300715107,0.0427337142308922,80,141.214117785592,165.305571892743,187.433916376211
week,2024-02-04,2024-02-04,5,tiktok,media,106.094442085697,4,3753.24300715107,0.0282674055166572,80,92.376549701823,107.220562951363,125.247287681897
week,2024-02-04,2024-02-04,5,display,media,102.74787307852,4,3753.24300715107,0.0273757582130316,80,89.1205482992575,105.433366162548,120.295000190671
week,2024-02-04,2024-02-04,5,promo,baseline_control,0,4,3753.24300715107,0,80,0,0,0
week,2024-02-11,2024-02-11,6,baseline,baseline_control,2597.73130925257,4,3695.814360214,0.70288468414906,80,2471.9304303863,2581.18926732973,2728.20134335195
week,2024-02-11,2024-02-11,6,tv,media,359.905348103153,4,3695.814360214,0.0973818793437217,80,317.999080836243,365.008231696712,415.379670392025
week,2024-02-11,2024-02-11,6,paid_search,media,292.400882807695,4,3695.814360214,0.0791167667822915,80,256.583268102564,289.905938021072,339.554786740147
week,2024-02-11,2024-02-11,6,retail_media,media,140.536169805133,4,3695.814360214,0.0380257653950443,80,123.904373816487,141.903114598046,166.03757409385
week,2024-02-11,2024-02-11,6,tiktok,media,106.011294390783,4,3695.814360214,0.0286841502462923,80,92.7146314183193,107.97877404156,120.638543992652
week,2024-02-11,2024-02-11,6,meta,media,103.869174128063,4,3695.814360214,0.0281045431410815,80,91.282717002918,102.466490135018,118.382827238034
week,2024-02-11,2024-02-11,6,display,media,95.3601817265952,4,3695.814360214,0.0258022109425089,80,83.0913601895273,96.3087796929334,112.372640580355
week,2024-02-11,2024-02-11,6,promo,baseline_control,0,4,3695.814360214,0,80,0,0,0
week,2024-02-18,2024-02-18,7,baseline,baseline_control,2614.8960372349,4,3744.5650771508,0.698317690668779,80,2500.37539079644,2616.10769710594,2732.10262632396
week,2024-02-18,2024-02-18,7,tv,media,378.602957015369,4,3744.5650771508,0.101107324673189,80,338.253824697157,384.409399815659,439.257590710107
week,2024-02-18,2024-02-18,7,paid_search,media,297.607489012349,4,3744.5650771508,0.0794771843673754,80,268.705508159668,300.251815015375,343.31994038141
week,2024-02-18,2024-02-18,7,retail_media,media,147.775910644184,4,3744.5650771508,0.0394641053365335,80,124.545881520013,147.910737023213,171.554600141276
week,2024-02-18,2024-02-18,7,meta,media,117.591406450403,4,3744.5650771508,0.0314032214763583,80,102.575077732838,117.186286983125,136.613320901078
week,2024-02-18,2024-02-18,7,tiktok,media,111.906048453128,4,3744.5650771508,0.0298849255247224,80,96.1965496892569,110.600804666261,123.751471033202
week,2024-02-18,2024-02-18,7,display,media,76.185228340462,4,3744.5650771508,0.0203455479530431,80,66.6360900837082,76.1167417710815,85.5937586446316
week,2024-02-18,2024-02-18,7,promo,baseline_control,0,4,3744.5650771508,0,80,0,0,0
week,2024-02-25,2024-02-25,8,baseline,baseline_control,2630.09607021983,4,3750.55933922062,0.701254354974792,80,2509.74985813467,2636.82162479169,2744.56642202742
week,2024-02-25,2024-02-25,8,tv,media,377.081468943818,4,3750.55933922062,0.100540062118355,80,338.198288294367,380.173025577324,445.93886696621
week,2024-02-25,2024-02-25,8,paid_search,media,277.813664945979,4,3750.55933922062,0.0740725955301669,80,239.737215634473,281.662392357906,325.104513775009
week,2024-02-25,2024-02-25,8,retail_media,media,161.662324614808,4,3750.55933922062,0.043103524032872,80,146.363291457574,167.045213273471,183.635600475891
week,2024-02-25,2024-02-25,8,meta,media,130.64578552645,4,3750.55933922062,0.0348336804487404,80,112.774453492597,131.999895079472,150.997595955589
week,2024-02-25,2024-02-25,8,tiktok,media,109.739477944392,4,3750.55933922062,0.0292594965227764,80,95.661918831775,111.852399469425,125.773443312563
week,2024-02-25,2024-02-25,8,display,media,63.5205470253356,4,3750.55933922062,0.0169362863722976,80,54.8101254428309,65.2194772970433,75.018919293271
week,2024-02-25,2024-02-25,8,promo,baseline_control,0,4,3750.55933922062,0,80,0,0,0
week,2024-03-03,2024-03-03,9,baseline,baseline_control,2643.13593077142,4,3790.13181954896,0.697373087959238,80,2525.38099247105,2641.84858133491,2783.33293870842
week,2024-03-03,2024-03-03,9,tv,media,385.358242201958,4,3790.13181954896,0.101674100149851,80,337.711237973081,388.018465193166,440.900215817806
week,2024-03-03,2024-03-03,9,paid_search,media,303.972685383546,4,3790.13181954896,0.0802010853067692,80,271.248904628307,305.530455083483,361.202717435301
week,2024-03-03,2024-03-03,9,retail_media,media,158.643405581237,4,3790.13181954896,0.0418569625370223,80,144.17312702331,162.752337504558,189.536206433898
week,2024-03-03,2024-03-03,9,meta,media,136.534058356722,4,3790.13181954896,0.0360235645769625,80,119.098792947432,137.349560529679,165.19831821691
week,2024-03-03,2024-03-03,9,tiktok,media,82.7745426727579,4,3790.13181954896,0.0218394891295914,80,72.4764588697973,83.5663634256279,94.688753973821
week,2024-03-03,2024-03-03,9,display,media,79.7129545813153,4,3790.13181954896,0.0210317103405658,80,69.1547823446608,81.7469795616671,92.5913148790522
week,2024-03-03,2024-03-03,9,promo,baseline_control,0,4,3790.13181954896,0,80,0,0,0
week,2024-03-10,2024-03-10,10,baseline,baseline_control,2653.85164163209,4,3867.23578744631,0.686239936609745,80,2558.09117934979,2669.71481815387,2776.5218920366
week,2024-03-10,2024-03-10,10,tv,media,397.479759002278,4,3867.23578744631,0.102781361377696,80,341.834165693308,404.23304019728,462.955337924278
week,2024-03-10,2024-03-10,10,paid_search,media,286.09656949121,4,3867.23578744631,0.073979603317679,80,257.918316016048,288.269304342136,334.410935702567
week,2024-03-10,2024-03-10,10,retail_media,media,149.188909783296,4,3867.23578744631,0.0385776606297418,80,125.599438935688,150.356638854063,173.185292650431
week,2024-03-10,2024-03-10,10,meta,media,126.617110966398,4,3867.23578744631,0.0327409855322031,80,111.914527906449,128.265831438588,147.630968116261
week,2024-03-10,2024-03-10,10,promo,baseline_control,100,4,3867.23578744631,0.0258582629806583,80,95.1458847061565,100.168982195816,105.079542712144
week,2024-03-10,2024-03-10,10,display,media,82.1582870070589,4,3867.23578744631,0.0212447059146893,80,71.7417884909817,83.330982408187,96.5228988069275
week,2024-03-10,2024-03-10,10,tiktok,media,71.8435095639787,4,3867.23578744631,0.018577483637588,80,62.8617395851033,73.214432304066,86.3437941564254
week,2024-03-17,2024-03-17,11,baseline,baseline_control,2662.11311688028,4,3886.58876619421,0.684948492630737,80,2544.57445926604,2672.16960070989,2793.3594943279
week,2024-03-17,2024-03-17,11,tv,media,392.094927051967,4,3886.58876619421,0.100884078722821,80,348.47037811722,400.756199532029,454.253037671671
week,2024-03-17,2024-03-17,11,paid_search,media,283.206831445524,4,3886.58876619421,0.0728677121461563,80,256.139242738653,287.000816709069,322.753580092472
week,2024-03-17,2024-03-17,11,retail_media,media,154.76666106756,4,3886.58876619421,0.0398206937697473,80,138.242403215167,156.467364978954,179.258240808932
week,2024-03-17,2024-03-17,11,meta,media,136.859682208579,4,3886.58876619421,0.0352133169835185,80,118.515786107751,139.202134080936,158.548983700752
week,2024-03-17,2024-03-17,11,promo,baseline_control,100,4,3886.58876619421,0.0257295036896639,80,96.4216203009762,100.619430512907,106.055893901125
week,2024-03-17,2024-03-17,11,display,media,82.5260800031946,4,3886.58876619421,0.0212335507993569,80,74.3342659261263,83.5715675730811,92.8717071806421
week,2024-03-17,2024-03-17,11,tiktok,media,75.0214675371062,4,3886.58876619421,0.0193026512579997,80,65.7309037141437,75.1947365750054,92.0537268035042
week,2024-03-24,2024-03-24,12,baseline,baseline_control,2667.82605887611,4,3904.63794442323,0.683245437054264,80,2543.32471339388,2681.93768149472,2796.42650917025
week,2024-03-24,2024-03-24,12,tv,media,376.98649626459,4,3904.63794442323,0.0965483872334485,80,339.773693214984,387.347387111585,437.843826486004
week,2024-03-24,2024-03-24,12,paid_search,media,310.827212049163,4,3904.63794442323,0.0796046180140977,80,272.708510366777,310.420987901978,349.822707828905
week,2024-03-24,2024-03-24,12,retail_media,media,148.236678952272,4,3904.63794442323,0.0379642571378455,80,133.360344158315,151.841313899801,171.657440336247
week,2024-03-24,2024-03-24,12,meta,media,137.093456172502,4,3904.63794442323,0.0351104143646161,80,117.549577941525,135.484160881212,156.672366064132
week,2024-03-24,2024-03-24,12,promo,baseline_control,100,4,3904.63794442323,0.025610569129162,80,95.6880006821931,99.272865330901,106.333911109751
week,2024-03-24,2024-03-24,12,tiktok,media,83.3473861906614,4,3904.63794442323,0.0213457399577089,80,69.0529518486764,84.9552588179821,96.0630241164028
week,2024-03-24,2024-03-24,12,display,media,80.3206559179276,4,3904.63794442323,0.0205705771088572,80,69.3910429204364,81.703709534393,92.1345108498099
week,2024-03-31,2024-03-31,13,baseline,baseline_control,2670.93333333333,4,3795.87441601827,0.703641122072485,80,2556.13339955758,2689.71853626329,2822.66621951101
week,2024-03-31,2024-03-31,13,tv,media,392.497204867214,4,3795.87441601827,0.103400998518525,80,343.126782139517,402.756540916994,462.243923439362
week,2024-03-31,2024-03-31,13,paid_search,media,276.175581608256,4,3795.87441601827,0.0727567752091107,80,248.404505480052,282.093556044529,325.665178872406
week,2024-03-31,2024-03-31,13,retail_media,media,154.031492472559,4,3795.87441601827,0.0405786587202567,80,135.410794070174,155.881235926705,184.227820054555
week,2024-03-31,2024-03-31,13,meta,media,133.332473464445,4,3795.87441601827,0.0351256282088242,80,115.725696131909,134.985159274648,151.251852515189
week,2024-03-31,2024-03-31,13,display,media,94.1974024811999,4,3795.87441601827,0.0248157320705065,80,81.1547765118595,97.2215344420596,109.837180075376
week,2024-03-31,2024-03-31,13,tiktok,media,74.7069277912639,4,3795.87441601827,0.0196810852002919,80,66.391980519409,76.310773611273,86.7559775447113
week,2024-03-31,2024-03-31,13,promo,baseline_control,0,4,3795.87441601827,0,80,0,0,0
week,2024-04-07,2024-04-07,14,baseline,baseline_control,2671.41580246585,4,3889.41909001797,0.686841849807836,80,2566.0611047472,2674.27120869273,2839.30770541962
week,2024-04-07,2024-04-07,14,tv,media,381.397856603903,4,3889.41909001797,0.0980603652567921,80,337.375337522733,389.595144824417,444.459470347644
week,2024-04-07,2024-04-07,14,paid_search,media,297.896860547409,4,3889.41909001797,0.0765916075518704,80,263.807535339285,307.749988173148,355.636916658516
week,2024-04-07,2024-04-07,14,retail_media,media,195.881061945109,4,3889.41909001797,0.0503625496279969,80,168.251545936405,198.022764808457,232.179105947952
week,2024-04-07,2024-04-07,14,meta,media,174.583707340845,4,3889.41909001797,0.0448868335605454,80,149.654944886804,178.717344867259,205.448061497775
week,2024-04-07,2024-04-07,14,display,media,102.29387509031,4,3889.41909001797,0.0263005535589731,80,92.9800434434764,103.61870640764,117.066773171373
week,2024-04-07,2024-04-07,14,tiktok,media,65.9499260245429,4,3889.41909001797,0.0169562406359861,80,58.4850960343964,67.7999820246592,76.2863676823995
week,2024-04-07,2024-04-07,14,promo,baseline_control,0,4,3889.41909001797,0,80,0,0,0
week,2024-04-14,2024-04-14,15,baseline,baseline_control,2669.29260405977,4,3911.1983200615,0.682474368627208,80,2582.54591095839,2690.76971711974,2811.33920557841
week,2024-04-14,2024-04-14,15,tv,media,392.848751094653,4,3911.1983200615,0.100442043319469,80,346.210079504246,394.496577850168,448.454517924018
week,2024-04-14,2024-04-14,15,paid_search,media,298.311820709257,4,3911.1983200615,0.0762712080282768,80,256.355896352384,297.978071489014,352.251822552043
week,2024-04-14,2024-04-14,15,retail_media,media,200.90517626479,4,3911.1983200615,0.0513666553890397,80,181.224679646974,204.816308963138,235.210454511319
week,2024-04-14,2024-04-14,15,meta,media,171.469292409092,4,3911.1983200615,0.0438406028990102,80,153.301421667594,177.155844420402,201.775141941587
week,2024-04-14,2024-04-14,15,display,media,101.980474968988,4,3911.1983200615,0.0260739718683926,80,86.9069453494323,102.491436301822,118.924148680693
week,2024-04-14,2024-04-14,15,tiktok,media,76.3902005549509,4,3911.1983200615,0.0195311498686034,80,66.7431029523604,77.7641756320778,89.5950221864476
week,2024-04-14,2024-04-14,15,promo,baseline_control,0,4,3911.1983200615,0,80,0,0,0
week,2024-04-21,2024-04-21,16,baseline,baseline_control,2664.62087240132,4,3902.09791116215,0.682868788294378,80,2536.98049879094,2652.85987616945,2798.02212808947
week,2024-04-21,2024-04-21,16,tv,media,381.430325257798,4,3902.09791116215,0.0977500652063846,80,330.943664308516,382.398410332242,455.835963009633
week,2024-04-21,2024-04-21,16,paid_search,media,288.229524241668,4,3902.09791116215,0.0738652721699197,80,249.612396531479,289.852890329824,340.437767777019
week,2024-04-21,2024-04-21,16,retail_media,media,195.158671161597,4,3902.09791116215,0.0500137812030127,80,168.885784766842,196.494759744045,226.222263933443
week,2024-04-21,2024-04-21,16,meta,media,167.719195839646,4,3902.09791116215,0.0429818009845107,80,150.488706197182,171.376139792793,193.136134568709
week,2024-04-21,2024-04-21,16,tiktok,media,111.240823037342,4,3902.09791116215,0.0285079527910183,80,100.078821086574,111.581955028532,129.572854722736
week,2024-04-21,2024-04-21,16,display,media,93.6984992227805,4,3902.09791116215,0.0240123393507762,80,84.4561320223321,95.8913116641954,109.08323766627
week,2024-04-21,2024-04-21,16,promo,baseline_control,0,4,3902.09791116215,0,80,0,0,0
week,2024-04-28,2024-04-28,17,baseline,baseline_control,2657.4949051304,4,3899.31862820662,0.681528020282003,80,2532.32064115261,2643.71435877123,2768.47993271885
week,2024-04-28,2024-04-28,17,tv,media,393.912871882528,4,3899.31862820662,0.101020949925217,80,341.453869124235,395.653222996464,452.183738408679
week,2024-04-28,2024-04-28,17,paid_search,media,294.40281404965,4,3899.31862820662,0.0755010918882131,80,265.04789683762,296.833859564477,345.882990550341
week,2024-04-28,2024-04-28,17,retail_media,media,199.742745933205,4,3899.31862820662,0.0512250382639468,80,173.583829987949,198.702554576197,236.181349747004
week,2024-04-28,2024-04-28,17,meta,media,166.090705764527,4,3899.31862820662,0.0425948022208475,80,146.983816530296,166.630933264108,198.242986642713
week,2024-04-28,2024-04-28,17,tiktok,media,108.66867990209,4,3899.31862820662,0.0278686330262959,80,93.2790257696478,108.992655450634,123.448483353551
week,2024-04-28,2024-04-28,17,display,media,79.0059055442264,4,3899.31862820662,0.0202614643934761,80,70.0783905687061,78.9176394671489,91.184659624437
week,2024-04-28,2024-04-28,17,promo,baseline_control,0,4,3899.31862820662,0,80,0,0,0
week,2024-05-05,2024-05-05,18,baseline,baseline_control,2648.04478816855,4,3874.33022696945,0.683484533593793,80,2527.91784307371,2659.66124713153,2793.27442232594
week,2024-05-05,2024-05-05,18,tv,media,380.333317289422,4,3874.33022696945,0.0981675012217332,80,335.155071567912,390.080051761137,436.947706965769
week,2024-05-05,2024-05-05,18,paid_search,media,292.988284118235,4,3874.33022696945,0.0756229507951401,80,264.436475752311,295.611928063924,344.85326736842
week,2024-05-05,2024-05-05,18,retail_media,media,191.575986914156,4,3874.33022696945,0.049447511102844,80,165.051301939721,194.261759021343,213.757962903037
week,2024-05-05,2024-05-05,18,meta,media,170.905837271599,4,3874.33022696945,0.0441123567841256,80,151.256469278203,171.468390527057,204.780987435912
week,2024-05-05,2024-05-05,18,tiktok,media,111.995370023041,4,3874.33022696945,0.0289070273988094,80,97.7889601745721,111.62328076585,133.856854426877
week,2024-05-05,2024-05-05,18,display,media,78.4866431844484,4,3874.33022696945,0.0202581191035545,80,68.5554664983676,79.6362007652469,94.2949997493883
week,2024-05-05,2024-05-05,18,promo,baseline_control,0,4,3874.33022696945,0,80,0,0,0
week,2024-05-12,2024-05-12,19,baseline,baseline_control,2636.43449877336,4,3816.74350919773,0.690754957051734,80,2504.60998687165,2635.02192049743,2779.3593993341
week,2024-05-12,2024-05-12,19,tv,media,381.585708249087,4,3816.74350919773,0.0999767753137007,80,342.574531481845,388.119610646503,444.375918277546
week,2024-05-12,2024-05-12,19,paid_search,media,294.295824058718,4,3816.74350919773,0.0771065237550057,80,256.94694253034,299.854341032556,347.525936210048
week,2024-05-12,2024-05-12,19,retail_media,media,200.657328647476,4,3816.74350919773,0.052572914099133,80,180.763288089629,203.707172900092,232.638643254044
week,2024-05-12,2024-05-12,19,meta,media,120.565721785595,4,3816.74350919773,0.0315886360964657,80,102.619510406936,120.498500260422,142.078680472074
week,2024-05-12,2024-05-12,19,tiktok,media,108.739354767469,4,3816.74350919773,0.0284900870350406,80,98.2766311187851,109.782035592682,125.518368547455
week,2024-05-12,2024-05-12,19,display,media,74.4650729160206,4,3816.74350919773,0.01951010664892,80,64.8999639399711,75.060581773142,90.5958639231834
week,2024-05-12,2024-05-12,19,promo,baseline_control,0,4,3816.74350919773,0,80,0,0,0
week,2024-05-19,2024-05-19,20,baseline,baseline_control,2622.85951438078,4,3789.69098555961,0.692103795368813,80,2485.95975470155,2617.27179111514,2789.67900011185
week,2024-05-19,2024-05-19,20,tv,media,366.645694057358,4,3789.69098555961,0.0967481769501628,80,320.076473228436,368.234353848741,426.386148347125
week,2024-05-19,2024-05-19,20,paid_search,media,296.926547922996,4,3789.69098555961,0.078351123892269,80,254.33813651218,294.682578813669,342.518390723913
week,2024-05-19,2024-05-19,20,retail_media,media,200.484718887684,4,3789.69098555961,0.0529026560876914,80,171.122120086676,197.489804756132,235.817658987504
week,2024-05-19,2024-05-19,20,meta,media,133.496569718199,4,3789.69098555961,0.0352262414605518,80,116.488354700721,136.183044431459,154.583721447664
week,2024-05-19,2024-05-19,20,tiktok,media,105.77853100286,4,3789.69098555961,0.0279121784351079,80,93.6027388898419,109.043836345756,118.953660289309
week,2024-05-19,2024-05-19,20,display,media,63.4994095897298,4,3789.69098555961,0.0167558278054043,80,55.2081081360554,64.1443647783174,75.8211119869477
week,2024-05-19,2024-05-19,20,promo,baseline_control,0,4,3789.69098555961,0,80,0,0,0
week,2024-05-26,2024-05-26,21,baseline,baseline_control,2607.54396210392,4,3753.10970863105,0.694768915522861,80,2496.95538786143,2621.34166313639,2721.00139154218
week,2024-05-26,2024-05-26,21,tv,media,374.680753352149,4,3753.10970863105,0.0998320812446524,80,323.221394039884,380.733713285492,433.718625048625
week,2024-05-26,2024-05-26,21,paid_search,media,293.083179426364,4,3753.10970863105,0.0780907573131579,80,261.99927774244,296.398580191605,351.986579810124
week,2024-05-26,2024-05-26,21,retail_media,media,152.815783886052,4,3753.10970863105,0.0407171108093697,80,131.315569319629,155.780804268457,177.072084978189
week,2024-05-26,2024-05-26,21,meta,media,137.846191664823,4,3753.10970863105,0.036728527105887,80,122.969156832003,139.754206457194,163.200048007916
week,2024-05-26,2024-05-26,21,tiktok,media,107.923616354993,4,3753.10970863105,0.0287557851311407,80,94.0722676107275,107.058856134252,124.756525052673
week,2024-05-26,2024-05-26,21,display,media,79.2162218427535,4,3753.10970863105,0.0211068228729311,80,68.8965272781817,78.8437150982026,90.9144665606682
week,2024-05-26,2024-05-26,21,promo,baseline_control,0,4,3753.10970863105,0,80,0,0,0
week,2024-06-02,2024-06-02,22,baseline,baseline_control,2590.73735045506,4,3681.70492515783,0.703678704056925,80,2493.36744349954,2608.23539407174,2718.19276863135
week,2024-06-02,2024-06-02,22,tv,media,347.365888379947,4,3681.70492515783,0.0943491929530601,80,300.63186980571,343.866113325938,408.475342540582
week,2024-06-02,2024-06-02,22,paid_search,media,314.089540747496,4,3681.70492515783,0.0853108945807305,80,272.25953157282,316.237739752913,361.659062912206
week,2024-06-02,2024-06-02,22,retail_media,media,146.834208799629,4,3681.70492515783,0.0398821230338915,80,130.462437113611,150.430681446639,173.287469008223
week,2024-06-02,2024-06-02,22,meta,media,133.868206661662,4,3681.70492515783,0.03636038449114,80,117.896857619235,138.425281300776,152.965458021139
week,2024-06-02,2024-06-02,22,display,media,75.2172201410994,4,3681.70492515783,0.0204299968819133,80,65.5323420075689,74.2901308944387,88.2226148056111
week,2024-06-02,2024-06-02,22,tiktok,media,73.5925099729343,4,3681.70492515783,0.0199887040023392,80,65.5759091821119,74.3298600342645,82.3604584768977
week,2024-06-02,2024-06-02,22,promo,baseline_control,0,4,3681.70492515783,0,80,0,0,0
week,2024-06-09,2024-06-09,23,baseline,baseline_control,2572.71093094971,4,3756.44391132523,0.684879367742799,80,2458.96077660929,2585.69446642883,2717.96458165481
week,2024-06-09,2024-06-09,23,tv,media,339.544425604101,4,3756.44391132523,0.0903898563693218,80,302.689247852448,344.013080010172,397.944056490372
week,2024-06-09,2024-06-09,23,paid_search,media,287.688249135725,4,3756.44391132523,0.076585264129295,80,254.504098352978,285.266172105568,327.383387766325
week,2024-06-09,2024-06-09,23,retail_media,media,151.194360219306,4,3756.44391132523,0.0402493325571756,80,130.408719969318,155.024975525468,180.280874554379
week,2024-06-09,2024-06-09,23,meta,media,123.480065664507,4,3756.44391132523,0.0328715318475087,80,108.718828494203,124.64730394958,144.549700223316
week,2024-06-09,2024-06-09,23,display,media,101.558438169781,4,3756.44391132523,0.0270357925120604,80,88.7643038806517,103.382115363644,120.068682881014
week,2024-06-09,2024-06-09,23,promo,baseline_control,100,4,3756.44391132523,0.0266209219039613,80,95.3479405701522,100.330581998855,106.565896227911
week,2024-06-09,2024-06-09,23,tiktok,media,80.2674415820999,4,3756.44391132523,0.0213679329378786,80,69.3526899471765,81.1023806952639,90.7042943778723
week,2024-06-16,2024-06-16,24,baseline,baseline_control,2553.75374264868,4,3754.34495512099,0.680212866205947,80,2421.86590572375,2577.7662849449,2702.1465955453
week,2024-06-16,2024-06-16,24,tv,media,332.871778393464,4,3754.34495512099,0.0886630776800148,80,291.522842647693,336.068456222111,402.67870918638
week,2024-06-16,2024-06-16,24,paid_search,media,296.926363046431,4,3754.34495512099,0.0790887269539307,80,263.567924233939,296.636415078546,351.797999163217
week,2024-06-16,2024-06-16,24,retail_media,media,155.362381210112,4,3754.34495512099,0.0413820208497877,80,134.78060472921,156.015847472563,178.166244179808
week,2024-06-16,2024-06-16,24,meta,media,131.636813902224,4,3754.34495512099,0.0350625250145618,80,117.188190614775,134.298984956456,147.334509428862
week,2024-06-16,2024-06-16,24,display,media,105.635194715324,4,3754.34495512099,0.0281367844399157,80,91.4673514721946,107.843019747451,126.631679191125
week,2024-06-16,2024-06-16,24,promo,baseline_control,100,4,3754.34495512099,0.0266358049660829,80,96.0145020769341,100.390930891062,105.300080212218
week,2024-06-16,2024-06-16,24,tiktok,media,78.1586812047504,4,3754.34495512099,0.0208181938897598,80,67.5142892215369,79.3467065535061,96.828119259742
