.draw,variable,spend_multiplier,spend,spend_vs_current,support,contribution,contribution_vs_current,roi,incremental_roi,mroi,cost_per_kpi,profit,incremental_profit,value_per_cost,scenario,scenario_type
3,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,9570.50476291532,759.556584794453,0.1882805798231,0.114561158752292,0.227029590675665,5.31122222450958,236284.065290889,16156.5569877592,5.64841739469301,all_channels_1.15x,scenario
4,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,8550.95063366371,623.55613425186,0.168222887217339,0.0940487051485762,0.232079553520083,5.94449433451959,205697.441413341,12076.5434714814,5.04668661652017,all_channels_1.15x,scenario
5,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,8884.49442393871,611.158400648636,0.174784695584304,0.0921788000540505,0.195175842416552,5.72132472272248,215703.755121591,11704.6114633846,5.24354086752911,all_channels_1.15x,scenario
6,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,10652.5598646362,1726.15289474296,0.209567854319007,0.260349366675416,-0.235157816932018,4.77172419047526,268745.718342517,45154.4462862145,6.28703562957021,all_channels_1.15x,scenario
7,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,9853.17328136271,995.20748182669,0.193841518756775,0.150103526978006,0.0371445201842505,5.15885351298121,244764.120844311,23226.0838987263,5.81524556270324,all_channels_1.15x,scenario
8,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,10091.5607413771,1310.15691217022,0.19853131624457,0.197606204738733,0.0151767688439939,5.03698871752858,251915.744644741,32674.5668090322,5.95593948733711,all_channels_1.15x,scenario
9,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,8800.78031909323,710.40473054389,0.173137787653099,0.107147763239051,0.269050438670706,5.77574666717824,213192.331976226,14682.0013602423,5.19413362959297,all_channels_1.15x,scenario
1,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,22930.7901369017,1853.47391912921,0.101613980177833,0.0629691025610014,-0.0745169396236694,9.84116553893387,462258.00243125,26169.5608335542,3.04841940533499,all_channels_1.15x,scenario
10,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,20658.2357334824,1349.66526580182,0.0915435335546055,0.0458529303639861,0.1283858596898,10.9237644776242,394081.37032867,11055.3012337325,2.74630600663817,all_channels_1.15x,scenario
11,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,27058.2673408224,2935.89589320964,0.119904208481336,0.0997428276168007,0.0629776346866653,8.33999083656563,586082.31854887,58642.2200559671,3.59712625444009,all_channels_1.15x,scenario
12,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,27467.9752666849,3238.03819302516,0.121719760968134,0.110007676379301,-0.0169390606870937,8.21559286714174,598373.556324744,67706.489050433,3.65159282904402,all_channels_1.15x,scenario
2,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,21608.5869902125,1803.24989483364,0.0957548569842309,0.0612628137892774,0.0414608039904803,10.4433344844814,422591.908030574,24662.8401046873,2.87264570952693,all_channels_1.15x,scenario
3,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,29117.762908245,3743.48483391472,0.129030520331692,0.127179496840763,-0.00719257947894204,7.75010437398343,647867.185571548,82869.8882771197,3.87091560995075,all_channels_1.15x,scenario
4,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,26205.3276323552,3050.48807583342,0.116124548115879,0.103635931709529,-0.110906982244247,8.6114436286298,560494.127294855,62079.9855346807,3.48373644347637,all_channels_1.15x,scenario
5,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,26268.6922190758,2206.87300818298,0.116405337736322,0.0749753267942761,0.00144741769695833,8.5906713510438,562395.064896473,36771.5335051675,3.49216013208966,all_channels_1.15x,scenario
6,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,28463.7024780341,997.512122122102,0.126132160388848,0.0338890353273809,0.1696783832035,7.92819211941777,628245.372665222,490.706923341066,3.78396481166543,all_channels_1.15x,scenario
7,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,27985.4984147935,3150.92821452434,0.124013078668899,0.107048240525528,0.0848478937212649,8.06366562892845,613899.250768003,65093.1896954083,3.72039236006697,all_channels_1.15x,scenario
8,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,27678.1449831986,2276.36196076506,0.122651093088846,0.0773361137127416,0.204112344435984,8.15320903235342,604678.647820155,38856.2020826298,3.67953279266538,all_channels_1.15x,scenario
9,paid_search,1.15,225665.701675802,29434.656740322,25073.9668528669,25720.8865857189,2812.99938403166,0.113977828242017,0.0955675960093051,0.103701204822742,8.77363620121476,545960.895895764,54955.3247806278,3.41933484726052,all_channels_1.15x,scenario
1,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,19472.4251877506,848.076774106219,0.120988654027396,0.0403986034558884,0.123795069493749,8.26523782778479,423228.530372012,4449.57818920758,3.62965962082188,all_channels_1.15x,scenario
10,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,18822.9773772645,826.894435492668,0.116953418780932,0.0393895711087651,0.0939839001918004,8.55041272348886,403745.096057431,3814.10803080105,3.50860256342796,all_channels_1.15x,scenario
11,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,23451.2874560041,2253.79265442168,0.145710648630267,0.107360652358075,0.159984497491388,6.862916399044,542594.398419618,46621.0545986715,4.37131945890802,all_channels_1.15x,scenario
12,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,23144.3057975731,1165.26148333787,0.143803269487374,0.0555078714865158,0.179261822590724,6.95394481338827,533384.948666688,13965.1194661571,4.31409808462122,all_channels_1.15x,scenario
2,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,18953.6101047297,1572.37642403919,0.117765083363825,0.0749010155420092,0.111353417068279,8.49148127302372,407664.077881386,26178.5676871966,3.53295250091476,all_channels_1.15x,scenario
3,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,24757.4983000954,1938.45073640777,0.153826571037406,0.0923391667003771,-0.00751226982104834,6.50082747899797,581780.723742357,37160.797058254,4.61479713112217,all_channels_1.15x,scenario
4,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,22421.5646110105,2378.65005462057,0.139312638118695,0.113308303270322,0.0606136589765109,7.17809965774963,511702.713069809,50366.7766046381,4.17937914356084,all_channels_1.15x,scenario
5,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,22651.2349873238,1464.59231983423,0.140739656552824,0.0697666604723127,0.112942440123321,7.1053178932881,518592.82435921,22945.044561048,4.22218969658471,all_channels_1.15x,scenario
6,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,25191.8730718055,1147.70603706653,0.156525485962791,0.0546716081503876,0.109559817972426,6.38873595471678,594811.966893661,13438.456078017,4.69576457888373,all_channels_1.15x,scenario
7,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,24640.4063969905,1476.55626173494,0.153099040099807,0.0703365694232154,-0.0226212014982851,6.53171959372241,578267.966649208,23303.9628180691,4.5929712029942,all_channels_1.15x,scenario
8,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,24829.0376150818,2183.88652092839,0.154271068594684,0.104030635250713,0.127766739912477,6.48209679954506,583926.903191949,44523.8705938726,4.62813205784053,all_channels_1.15x,scenario
9,paid_social,1.15,160944.225260506,20992.725033979,22992.0321800722,22602.7192168484,2388.29327975752,0.140438211934994,0.11376766360212,0.0218045380116115,7.12056915437571,517137.351244946,50656.0733587467,4.21314635804983,all_channels_1.15x,scenario
1,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,15647.6903143786,1305.97092369549,0.0926164550384851,0.0592622315250356,0.028169834374725,10.7972174014269,300479.195276811,17141.9736907064,2.77849365115455,all_channels_1.15x,scenario
10,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,15394.2201210491,1088.72335372851,0.0911162009886893,0.0494039907663489,-0.0113467416604627,10.9749966432878,292875.089476926,10624.546591697,2.73348602966068,all_channels_1.15x,scenario
11,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,19435.8614983562,2385.15764280481,0.115038101881569,0.108233469740376,-0.0568597228767743,8.69277207850224,414124.330796138,49517.575263986,3.45114305644707,all_channels_1.15x,scenario
12,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,18139.0067982055,978.724388598079,0.107362203227211,0.0444124675855511,0.260128063652314,9.31426488969959,375218.689791616,7324.57763778405,3.22086609681632,all_channels_1.15x,scenario
2,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,15115.1033998017,1716.36538259517,0.0894641487851675,0.0778850744985099,0.028612639429271,11.1776618184936,284501.587839505,29453.8074576967,2.68392446355502,all_channels_1.15x,scenario
3,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,19340.2140714894,1523.57346105835,0.114471978355862,0.0691365799623976,0.180231179876861,8.7357623617832,411254.907990136,23670.0498115921,3.43415935067586,all_channels_1.15x,scenario
4,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,17202.3421910768,1594.09053442942,0.101818218541333,0.0723364973975876,0.0857521573963995,9.82142502909783,347118.751577757,25785.5620127243,3.05454655623999,all_channels_1.15x,scenario
5,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,19156.455062073,2528.58510593338,0.113384334895926,0.114741908307233,0.0108385841363328,8.81956048794471,405742.137707642,53820.3991578431,3.40153004687778,all_channels_1.15x,scenario
6,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,20243.19789983,1754.088501137,0.119816611298983,0.0795968707906866,0.0944946072444195,8.34608815220673,438344.422840352,30585.5010139517,3.59449833896948,all_channels_1.15x,scenario
7,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,19522.8544896034,1304.79868153876,0.115553001032859,0.0592090376255123,0.12961777150555,8.65403746386163,416734.120533556,17106.8064260046,3.46659003098576,all_channels_1.15x,scenario
8,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,19528.9105852662,1113.26166641771,0.115588846202362,0.0505174881202612,0.0507159600464779,8.65135376686167,416915.803403438,11360.6959723731,3.46766538607086,all_channels_1.15x,scenario
9,retail_media,1.15,168951.514154547,22037.1540201583,15359.2285595043,17316.4633804253,676.479820198794,0.102493685641581,0.0306972406500399,0.115488033863359,9.75669860772679,350542.387258211,-1742.75941419449,3.07481056924743,all_channels_1.15x,scenario
1,tv,1.15,592616.955670792,77297.8637831467,32923.1642039329,34513.5614200454,2313.18777112131,0.0582392405242253,0.0299256364653334,0.0133351500561942,17.1705535820653,442789.88693057,-7902.23064950755,1.74717721572676,all_channels_1.15x,scenario
10,tv,1.15,592616.955670792,77297.8637831467,32923.1642039329,32600.2079216904,2888.46585142362,0.0550105892343052,0.0373679906540107,0.018913062259978,18.1783182823352,385389.28197992,9356.11175956193,1.65031767702916,all_channels_1.15x,scenario
11,tv,1.15,592616.955670792,77297.8637831467,32923.1642039329,41226.7986214116,2116.24976310794,0.0695673625719101,0.0273778557327912,0.00761837725456673,14.3745567322079,644187.002971556,-13810.3708899086,2.0870208771573,all_channels_1.15x,scenario
12,tv,1.15,592616.955670792,77297.8637831467,32923.1642039329,40610.9024577272,3332.35210507279,0.068528080523378,0.0431105329692092,-0.020407563936258,14.5925581507986,625710.118061024,22672.6993690369,2.05584241570134,all_channels_1.15x,scenario
2,tv,1.15,592616.955670792,77297.8637831467,32923.1642039329,33030.1574458266,2065.34366551098,0.0557360992286143,0.0267192851707409,0.0346521680769637,17.9416933341222,398287.767704006,-15337.5538178172,1.67208297685843,all_channels_1.15x,scenario
3,tv,1.15,592616.955670792,77297.8637831467,32923.1642039329,42116.8280383649,729.415645985566,0.0710692254673884,0.00943642696299973,0.0506225442312096,14.0707879313933,670887.885480154,-55415.3944035798,2.13207676402165,all_channels_1.15x,scenario
